   ,methodName, Error, time
141, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
142, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
143, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
144, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
145, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
146, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
147, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
148, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
149, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
150, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
151, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
152, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
153, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
154, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
155, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
156, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
157, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
158, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
159, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
160, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
161, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
162, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
